Video ID,Comment,Timestamp
8quzmFJTldY,어~~ 어~~ 어~~ 이지랄 좀 그만해라. 안그래도 잠오는 말투인데 어~~어~~어~~ 버릇 고쳐야할듯,2021-08-15T11:49:23Z
8quzmFJTldY,Oí cv,2021-03-26T19:04:21Z
8quzmFJTldY,사고Γ티ŀㅂł 꿀잼 신세계네 완전 ..ㅋㅋ개이쁘다 비제이들,2021-02-17T17:08:26Z
8quzmFJTldY,ㅅレ고Γ티ㅂI 왜이리 좋냐 ..클라스가 다르다 볼맛나네,2021-02-17T16:55:32Z
8quzmFJTldY,ㅅΓ고Γ티ㅂł 무료 실화? 핫한 이유가있네..ㅋㅋㅋ이거때문에 밤에 잠을못잠 ㅠ,2021-02-17T16:55:32Z
8quzmFJTldY,와 진짜 ㅅㅏ고r티ㅂł 수위 이렇게쎈데 무료..?지린다,2021-02-17T16:55:32Z
8quzmFJTldY,ㅅL고rㅌIㅂl 역대급 인방인듯 진짜 몸매 죽여준다..ㅋ.ㅋ,2021-02-17T16:52:29Z
8quzmFJTldY,ㅅr고r티ㅂł 비제이들 몸매 말도안나온다진짜 지림ㅋㅋㅋ개쩌네,2021-02-17T16:52:29Z
8quzmFJTldY,ㅅr고r티ㅂI몸매 죽인다..요새 모르는사람이 없네진짴ㅋ,2021-02-17T16:52:29Z
8quzmFJTldY,뭐지 나릇나릇하고 잠오는 말투는...,2021-02-15T18:37:54Z
8quzmFJTldY,0:62  I stopped my work because of 𝐠 𝐫 𝐞 𝐚 𝐭 𝐞 𝐚 𝐬 𝐲 𝐩  𝐚  𝐲 .𝐜 𝐨 𝐦  #unbeleivable 1:81,2021-01-18T19:11:22Z
8quzmFJTldY,와아!!! 멋진 튜토리얼 잘 보고 갑니다,2021-01-14T10:52:37Z
BQQqnn2uZv4,"►► 👍 Don't forget to *LIKE* and *SUBSCRIBE!* 🎯
► 🔗 *How To Match a Subject Into ANY Background!* https://youtube.com/watch?v=xQyceKmZTR8&list=PL3bfN-31F9RdzVhwXPj0yEceDozZGGVxP
► 🔗 *Little-Known Filters to Remove White Edges:* https://youtube.com/watch?v=60GysIWun2s&list=PL3bfN-31F9RcsA9rVxmicKuO07kowMdU1
► 🔗 *Tutorial Images:* https://photoshoptrainingchannel.com/how-to-remove-a-background-in-photoshop",2021-01-20T15:33:56Z
BQQqnn2uZv4,Bytrxxx,2022-02-16T15:22:03Z
BQQqnn2uZv4,Bytrxxx,2022-02-16T15:21:39Z
BQQqnn2uZv4,@M Flix xxx,2022-02-06T18:53:41Z
BQQqnn2uZv4,Ps,2022-01-30T21:09:38Z
BQQqnn2uZv4,How can i get the 2020 phoshop software pls I need dirction,2022-01-29T14:05:12Z
BQQqnn2uZv4,me l,2022-01-25T11:11:33Z
BQQqnn2uZv4,I'm not sure why but nothing about my photoshop screen looked like yours. I don't find PS or most all Adobe products to be intuitive.,2021-11-04T20:22:00Z
BQQqnn2uZv4,"Hi, I really love the quality of your video, the image quality is exactly what I need for my videos. How did you achieve it? What kind of camera and settings do you use? Please your answer will be very much appreciated.",2021-08-30T11:55:26Z
BQQqnn2uZv4,javascript:void(0);,2021-08-14T10:29:36Z
BQQqnn2uZv4,Bb,2021-08-06T17:55:27Z
BQQqnn2uZv4,000000,2021-08-03T20:15:12Z
BQQqnn2uZv4,already did.,2021-06-12T22:00:00Z
BQQqnn2uZv4,"Like yr training videos man 
Nice one 👍🏻",2021-03-31T23:39:04Z
BQQqnn2uZv4,Plz make a video on How to colorize black&white image,2021-01-21T09:38:24Z
BQQqnn2uZv4,"thanks this helped me alot,you are a great teacher",2022-03-23T22:05:04Z
BQQqnn2uZv4,Thank you🤍🙏,2022-03-23T07:31:55Z
BQQqnn2uZv4,Is this work for photoshop 2017,2022-03-23T01:54:14Z
BQQqnn2uZv4,I haven't used photoshop in over a decade. This video is was so helpful. The new tools make easy work of what used to be a lot of manual labor.,2022-03-21T23:09:14Z
BQQqnn2uZv4,"sir how you highlight thing, which software you are using for screen recording and zoom.",2022-03-21T18:36:45Z
BQQqnn2uZv4,Using Photoshop year?,2022-03-21T17:18:12Z
BQQqnn2uZv4,"great explanations to actually understand the concepts, thank you!",2022-03-20T06:04:37Z
BQQqnn2uZv4,"what if I'm trying to save the cut out image without a background at all? say for a sticker or something so it doesn't have the background of the paper the design was drawn on, just the design",2022-03-18T22:29:11Z
BQQqnn2uZv4,I had to pause the video to type this comment. This is incredible. Not just the Ps but the way you explain. Stay blessed brother!,2022-03-15T18:10:58Z
BQQqnn2uZv4,OMG THANKYOU SO MUCH.. Help me alot .,2022-03-15T03:58:08Z
BQQqnn2uZv4,Thanks a lot ! Great video.,2022-03-14T20:57:55Z
BQQqnn2uZv4,"Thanks, so helpful and fun to watch. Excellent tutorial.",2022-03-14T12:29:29Z
BQQqnn2uZv4,"This is a great video, I have a problem where when I remove the background , the subject looks very faint,, like it lost the clarity of the image, how do you fix that?",2022-03-13T05:32:16Z
BQQqnn2uZv4,the best intro to masking I've seen so far. Great job. Thank you,2022-03-12T22:19:50Z
BQQqnn2uZv4,"i like youe vedios 
",2022-03-12T12:45:35Z
BQQqnn2uZv4,thank you for all this tutorials for free.. guys dont skip ads .,2022-03-10T04:49:37Z
BQQqnn2uZv4,"Im totally new to PS and this is the best I have seen, Thanks so much",2022-03-08T21:18:52Z
BQQqnn2uZv4,Which Version Of Your Photoshop,2022-03-08T15:11:09Z
BQQqnn2uZv4,This is amazing! Thank you so much! <3,2022-03-07T12:55:54Z
BQQqnn2uZv4,A lot of tutorials rush over complex topics. Great teaching style bud!,2022-03-06T21:00:23Z
BQQqnn2uZv4,The best tutorial!!,2022-03-06T13:34:07Z
BQQqnn2uZv4,what kind of version PS do you use sir?,2022-03-04T14:43:21Z
BQQqnn2uZv4,I follow all these steps but the background stays still 😭 what am I doing wrong?,2022-03-04T11:24:09Z
BQQqnn2uZv4,"I’ve been doing design for living for 10 years now. Hundreds of brandings, custom types, websites, videos, animations… Still to this day I have never managed to remove background from picture not even once. I just hope Adobe Spark background remove online doesn’t stop working. Thank you for the tutorial, it still doesn’t work as intended on my side:(",2022-03-02T14:58:06Z
BQQqnn2uZv4,"I'm not a beginner, but really loved this tutorial and as always found another new way of achieving something in a different way.... Thanks so much",2022-03-02T10:11:00Z
BQQqnn2uZv4,Thanks!!,2022-02-28T18:30:50Z
BQQqnn2uZv4,I have the same mic as this dude.,2022-02-28T14:30:30Z
BQQqnn2uZv4,Worked up to 10:40. Your instructions for color adjustment do not work .,2022-02-27T22:53:53Z
BQQqnn2uZv4,"Not sure how or why. My adobe photoshop looks nothing like this and there is no ""select and mask"" option under select.",2022-02-26T01:45:41Z
BQQqnn2uZv4,thx!,2022-02-25T12:18:47Z
BQQqnn2uZv4,https://www.youtube.com/watch?v=eumgb_adZ60&t=47s,2022-02-23T19:46:28Z
BQQqnn2uZv4,"After watching different presentations on removing backgrounds, I found yours easier to follow in digestible amount of steps. Learning new things at my age is not easy. Thank you.",2022-02-23T03:45:57Z
BQQqnn2uZv4,You have a very clear easy-to-understand voice. Taking your time to explain things in detail is a great way to learn. You must come from a teaching background.,2022-02-22T20:03:58Z
BQQqnn2uZv4,"Each time i forget how to do this, i come back this exact video. Thank you so much",2022-02-22T16:22:54Z
BQQqnn2uZv4,"Finally, a Photoshop Expert who is able to meet the needs of beginners like myself in a very successful tutorial; If you ever write a book or videos, please let me know.  I will purchase them immediately.  Thank you.",2022-02-21T20:23:05Z
